API,NFT ID,Rarity Score,Rank
https://api.raritysniper.com/public/collection/anomura/id/,1,16189.78,383
https://api.raritysniper.com/public/collection/anomura/id/,2,2313.44,1703
https://api.raritysniper.com/public/collection/anomura/id/,3,2523.77,1503
https://api.raritysniper.com/public/collection/anomura/id/,4,14685.93,446
https://api.raritysniper.com/public/collection/anomura/id/,5,27603.73,147
https://api.raritysniper.com/public/collection/anomura/id/,6,9038.2,1061
https://api.raritysniper.com/public/collection/anomura/id/,7,20536.18,220
https://api.raritysniper.com/public/collection/anomura/id/,8,13458.62,515
https://api.raritysniper.com/public/collection/anomura/id/,9,2343.78,1666
https://api.raritysniper.com/public/collection/anomura/id/,10,9274.12,939
https://api.raritysniper.com/public/collection/anomura/id/,11,5623.63,1292
https://api.raritysniper.com/public/collection/anomura/id/,12,9148.14,998
https://api.raritysniper.com/public/collection/anomura/id/,13,4704.19,1347
https://api.raritysniper.com/public/collection/anomura/id/,14,6758.25,1141
https://api.raritysniper.com/public/collection/anomura/id/,15,6706.78,1162
https://api.raritysniper.com/public/collection/anomura/id/,16,16823.63,324
https://api.raritysniper.com/public/collection/anomura/id/,17,14166.55,467
https://api.raritysniper.com/public/collection/anomura/id/,18,10301.74,771
https://api.raritysniper.com/public/collection/anomura/id/,19,6755.6,1143
https://api.raritysniper.com/public/collection/anomura/id/,20,21821.07,192
https://api.raritysniper.com/public/collection/anomura/id/,21,16558.28,334
https://api.raritysniper.com/public/collection/anomura/id/,22,2319.66,1694
https://api.raritysniper.com/public/collection/anomura/id/,23,5757.12,1260
https://api.raritysniper.com/public/collection/anomura/id/,24,2182.44,1754
https://api.raritysniper.com/public/collection/anomura/id/,25,2174.01,1759
https://api.raritysniper.com/public/collection/anomura/id/,26,9529.75,865
https://api.raritysniper.com/public/collection/anomura/id/,27,2545.97,1488
https://api.raritysniper.com/public/collection/anomura/id/,28,5643.56,1288
https://api.raritysniper.com/public/collection/anomura/id/,29,11231.87,721
https://api.raritysniper.com/public/collection/anomura/id/,30,13523.13,507
https://api.raritysniper.com/public/collection/anomura/id/,31,12715.88,560
https://api.raritysniper.com/public/collection/anomura/id/,32,9595.16,834
https://api.raritysniper.com/public/collection/anomura/id/,33,18035.9,286
