id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,size_sqft
6414100192,20141209T000000,538000.0,3,2.25,2.0,0,0,3,7,1951,1991,98125,47.721,-122.319,21711
2487200875,20141209T000000,604000.0,4,3.0,1.0,0,0,5,7,1965,0,98136,47.5208,-122.393,15280
1954400510,20150218T000000,510000.0,3,2.0,1.0,0,0,3,8,1987,0,98074,47.6168,-122.045,20743
7237550310,20140512T000000,1225000.0,4,4.5,1.0,0,0,3,11,2001,0,98053,47.6561,-122.005,219460
1736800520,20150403T000000,662500.0,3,2.5,1.0,0,0,3,8,1965,0,98007,47.6007,-122.145,28051
9212900260,20140527T000000,468000.0,2,1.0,1.0,0,0,4,7,1942,0,98115,47.69,-122.292,15650
1175000570,20150312T000000,530000.0,5,2.0,1.5,0,0,3,7,1900,0,98107,47.67,-122.394,14680
9297300055,20150124T000000,650000.0,4,3.0,2.0,0,3,3,9,1979,0,98126,47.5714,-122.375,17040
2524049179,20140826T000000,2000000.0,3,2.75,1.0,0,4,3,9,1968,0,98040,47.5316,-122.233,75413
1873100390,20150302T000000,719000.0,4,2.5,2.0,0,0,3,8,2005,0,98052,47.7073,-122.11,20969
8562750320,20141110T000000,580500.0,3,2.5,2.0,0,0,3,8,2003,0,98027,47.5391,-122.07,15180
461000390,20140624T000000,687500.0,4,1.75,1.5,0,0,4,7,1929,0,98117,47.6823,-122.368,16120
9435300030,20140528T000000,550000.0,4,1.0,1.0,0,0,1,5,1933,0,98052,47.6621,-122.132,51795
2768000400,20141230T000000,640000.0,4,2.0,2.0,0,0,4,8,1904,0,98107,47.6702,-122.362,17150
2078500320,20140620T000000,605000.0,4,2.5,2.0,0,0,3,8,1996,0,98056,47.5301,-122.18,27297
5547700270,20140715T000000,625000.0,4,2.5,2.0,0,0,3,9,2000,0,98074,47.6145,-122.027,18799
7766200013,20140811T000000,775000.0,4,2.25,1.0,0,0,3,8,1984,0,98166,47.445,-122.347,65653
7203220400,20140707T000000,861990.0,5,2.75,2.0,0,0,3,9,2014,0,98053,47.6848,-122.016,22093
8035350320,20140718T000000,488000.0,3,2.5,2.0,0,0,3,8,2003,0,98019,47.7443,-121.977,32205
4178300310,20140716T000000,785000.0,4,2.5,2.0,0,0,4,9,1981,0,98007,47.6194,-122.151,34361
9215400105,20150428T000000,450000.0,3,1.75,1.0,0,0,4,7,1953,0,98115,47.6796,-122.301,14533
822039084,20150311T000000,1350000.0,3,2.5,1.0,1,2,5,9,1953,0,98070,47.4041,-122.451,145704
3626039271,20150205T000000,585000.0,2,1.75,1.0,0,0,3,7,1981,0,98117,47.6989,-122.369,20728
4217401195,20150303T000000,920000.0,5,2.25,1.5,0,0,3,8,1927,0,98105,47.6571,-122.281,20190
9822700295,20140512T000000,885000.0,4,2.5,2.0,0,0,3,9,1995,0,98105,47.6597,-122.29,17610
7922800400,20140827T000000,951000.0,5,3.25,2.0,0,4,4,8,1968,0,98008,47.588,-122.116,34846
1516000055,20141210T000000,650000.0,3,2.25,1.0,0,3,4,8,1959,0,98166,47.4336,-122.339,47005
5072410070,20141021T000000,505000.0,3,1.75,2.0,0,0,5,8,1973,0,98166,47.4428,-122.344,25728
3394100030,20140909T000000,975000.0,4,2.5,2.0,0,0,3,10,1989,0,98004,47.5815,-122.192,30288
1802000060,20140612T000000,1325000.0,5,2.25,1.0,0,0,3,8,1965,0,98004,47.6303,-122.215,50106
1525059190,20140912T000000,1040000.0,5,3.25,1.0,0,0,4,11,1973,0,98005,47.6525,-122.16,102081
8820901275,20140610T000000,571000.0,4,2.0,1.5,0,0,5,7,1916,0,98125,47.7168,-122.287,22624
3276920270,20141105T000000,832500.0,4,4.0,2.0,0,0,4,10,1986,0,98075,47.5822,-121.987,80222
1531000030,20150323T000000,720000.0,4,2.5,2.0,0,0,3,10,2002,0,98010,47.342,-122.025,89683
4232902595,20141114T000000,940000.0,3,1.5,2.0,0,0,3,9,1925,0,98119,47.6337,-122.365,14700
3342103156,20140618T000000,461000.0,3,3.25,2.0,0,0,3,9,2006,0,98056,47.5228,-122.199,21067
5036300431,20150311T000000,1099880.0,5,2.75,2.0,0,0,4,10,2001,0,98199,47.6506,-122.391,22163
6021501535,20141223T000000,700000.0,3,1.5,1.0,0,0,3,8,1939,0,98117,47.687,-122.386,14230
1483300570,20140908T000000,905000.0,4,2.5,1.0,0,0,3,7,1946,1991,98040,47.5873,-122.249,24845
1952200240,20140611T000000,850830.0,3,2.5,1.5,0,0,5,9,1910,0,98102,47.6415,-122.315,24081
7214720075,20141212T000000,699950.0,3,2.25,2.0,0,0,4,8,1983,0,98077,47.7731,-122.08,162320
2450000295,20141007T000000,1088000.0,3,2.5,2.0,0,0,3,8,1950,2010,98004,47.5814,-122.196,24436
1853000400,20150305T000000,680000.0,4,2.5,2.0,0,0,4,10,1991,0,98077,47.7304,-122.082,72308
3134100116,20140827T000000,470000.0,5,1.75,2.0,0,0,4,7,1942,0,98052,47.6417,-122.109,28335
9545230140,20140725T000000,597750.0,4,2.5,2.0,0,0,3,8,1984,0,98027,47.5386,-122.053,25820
8961960160,20141028T000000,480000.0,4,2.5,2.0,0,3,3,9,2001,0,98001,47.3183,-122.253,33788
3626039325,20141121T000000,740500.0,3,3.5,2.0,0,0,3,8,1900,1999,98117,47.6981,-122.368,23290
7278700070,20150102T000000,660000.0,3,2.5,1.0,0,2,3,8,1964,0,98177,47.7728,-122.386,24470
3275860240,20140618T000000,770000.0,3,2.25,2.0,0,0,3,9,1990,0,98052,47.6897,-122.098,32716
4389200955,20150302T000000,1450000.0,4,2.75,1.5,0,0,3,8,1914,1992,98004,47.6141,-122.212,37624
2331300505,20140613T000000,822500.0,5,3.5,2.0,0,0,5,7,1926,0,98103,47.6763,-122.352,16260
9545240070,20150428T000000,660500.0,4,2.25,1.0,0,0,3,8,1986,0,98027,47.5343,-122.054,25476
1243100136,20140612T000000,784000.0,3,3.5,1.5,0,0,3,9,1989,0,98052,47.697,-122.072,209958
4027700812,20140529T000000,452000.0,4,2.25,1.0,0,0,4,8,1968,0,98028,47.7689,-122.266,27168
1777500060,20140708T000000,527700.0,5,2.5,1.0,0,0,4,8,1968,0,98006,47.5707,-122.128,27210
6071600370,20150227T000000,500000.0,4,2.25,1.0,0,0,4,8,1961,0,98006,47.5495,-122.174,23631
